Gender	Ager	Empstat	Educr	Marstat	Vote
male	65+	yes	Post Coll	divorced	Bush
male	45-54	yes	College	married	Bush
female	55-64	yes	College	married	Gore
female	55-64	retired	HS	widowed	Gore
male	45-54	yes	>HS	married	Bush
female	18-24	no	>HS	never married	Gore
female	35-44	yes	Post Coll	divorced	Gore
male	65+	retired	College	widowed	Gore
female	55-64	no	>HS	widowed	Gore
female	35-44	yes	College	married	Bush
female	65+	retired	College	widowed	Bush
female	18-24	yes	College	never married	Gore
male	35-44	yes	<HS	divorced	Bush
female	65+	yes	HS	divorced	Gore
female	25-34	yes	>HS	married	Gore
female	65+	no	>HS	married	Gore
male	45-54	yes	College	divorced	Bush
female	65+	yes	<HS	widowed	Gore
female	65+	retired	HS	widowed	Gore
female	65+	retired	College	widowed	Bush
male	55-64	retired	HS	married	Bush
female	25-34	yes	>HS	married	Bush
male	45-54	yes	>HS	married	Bush
male	55-64	yes	HS	married	Gore
male	25-34	yes	HS	never married	Gore
male	45-54	yes	College	married	Gore
male	25-34	yes	College	married	Bush
male	35-44	yes	Post Coll	married	Bush
female	65+	retired	>HS	married	Bush
male	35-44	yes	College	married	Gore
female	55-64	no	>HS	married	Gore
female	35-44	yes	HS	married	Gore
male	25-34	yes	>HS	married	Bush
male	45-54	yes	>HS	married	Bush
male	35-44	yes	Post Coll	divorced	Bush
male	35-44	yes	Post Coll	married	Gore
male	35-44	yes	Post Coll	married	Bush
female	65+	yes	College	married	Gore
female	25-34	yes	College	never married	Gore
female	25-34	yes	College	divorced	Gore
female	55-64	no	HS	married	Gore
female	25-34	yes	Post Coll	married	Gore
male	35-44	yes	>HS	never married	Gore
male	65+	retired	>HS	married	Bush
male	45-54	retired	HS	widowed	Gore
female	65+	retired	>HS	married	Gore
female	55-64	yes	HS	divorced	Bush
female	65+	retired	<HS	never married	Gore
male	65+	yes	<HS	married	Gore
female	65+	no	>HS	widowed	Bush
male	18-24	yes	>HS	never married	Gore
male	35-44	no	HS	never married	Bush
male	35-44	yes	>HS	married	Gore
female	65+	retired	HS	widowed	Gore
male	45-54	yes	College	married	Gore
female	35-44	yes	Post Coll	divorced	Gore
male	35-44	yes	HS	married	Bush
male	65+	retired	HS	widowed	Gore
female	35-44	yes	College	married	Gore
male	55-64	yes	Post Coll	married	Bush
female	55-64	no	>HS	married	Gore
female	45-54	yes	Post Coll	married	Gore
female	25-34	no	College	married	Bush
male	25-34	yes	>HS	married	Bush
female	25-34	yes	College	never married	Gore
female	65+	retired	>HS	widowed	Bush
