MaritalStatus	AgeR	Degree	Gender	ReligiousP	OwnGun	CapitalPunishment
Never Married	18-25	(1)High School	Male	None	No	Oppose
Divorced	46-55	(0) < High School	Male	None	No	Favor
Married	46-55	(1)High School	Female	Protestant	Yes	Oppose
Married	46-55	(4)Graduate	Male	None	Yes	Favor
Never Married	26-35	(2)Jr. College	Female	None	No	Favor
Never Married	26-35	(3)Bachelor	Male	None	No	Oppose
Never Married	36-45	(1)High School	Female	Protestant	No	Oppose
Widowed	66-75	(0) < High School	Male	Protestant	Yes	Favor
Married	66-75	(1)High School	Male	Protestant	Yes	Oppose
Divorced	56-65	(3)Bachelor	Male	Jewish	Yes	Favor
Widowed	76-82	(1)High School	Male	None	No	Favor
Never Married	18-25	(3)Bachelor	Male	Protestant	No	Oppose
Married	26-35	(4)Graduate	Female	Christian	Refused	Favor
Married	46-55	(1)High School	Male	None	Yes	Favor
Divorced	46-55	(3)Bachelor	Male	Catholic	Yes	Favor
Divorced	46-55	(1)High School	Male	None	No	Oppose
Never Married	18-25	(1)High School	Male	Catholic	No	Oppose
Divorced	46-55	(1)High School	Male	Protestant	Yes	Favor
Divorced	26-35	(0) < High School	Female	None	No	Oppose
Married	56-65	(1)High School	Male	Christian	No	Favor
Married	36-45	(0) < High School	Female	Christian	No	Favor
Married	66-75	(1)High School	Female	Catholic	No	Oppose
Never Married	26-35	(3)Bachelor	Male	Protestant	Yes	Favor
Divorced	36-45	(1)High School	Female	Protestant	Yes	Favor
Widowed	66-75	(1)High School	Female	Catholic	Yes	Oppose
Married	46-55	(0) < High School	Female	Protestant	No	Favor
Never Married	56-65	(1)High School	Male	Catholic	Yes	Favor
Never Married	18-25	(1)High School	Male	None	No	Favor
Never Married	26-35	(1)High School	Male	Catholic	No	Oppose
Divorced	46-55	(1)High School	Female	None	No	Favor
Married	26-35	(3)Bachelor	Female	Christian	No	Oppose
Widowed	36-45	(2)Jr. College	Male	None	No	Oppose
Married	26-35	(1)High School	Male	Protestant	No	Favor
Never Married	46-55	(2)Jr. College	Male	Protestant	No	Oppose
Married	36-45	(1)High School	Female	Protestant	No	Oppose
Married	36-45	(4)Graduate	Male	Hinduism	No	Oppose
